Classificação,Número de Artigos
Neural Network,5
Logistic Regression,4
Naive Bayes,3
Support Vector Machine,3
XGBoost,3
Decision Tree,2
KNN,2
Clustering,1
LightGBM,1
RNN,1
Random Forest,1
