Classificação,Número de Artigos
Performance Ensino Medio Socioeconomicos,3
Performance Ensino Medio Performance Ensino Superior Socioeconomicos,2
Performance Ensino Superior,2
Socioeconomicos,2
Performance Ensino Medio,1
Performance Ensino Superior Socioeconomicos,1
