Classificação,Número de Artigos
Ensino Superior Socioeconomicos,18
Ensino Superior,10
Ensino Medio Socioeconomicos,7
Ensino Medio Ensino Superior Socioeconomicos,6
Socioeconomicos,2
Ensino Medio,1
