Classificação,Número de Artigos
nan,7
Ensino Medio Socioeconomicos,3
Ensino Medio Ensino Superior Socioeconomicos,2
Ensino Superior,2
Socioeconomicos,2
Ensino Medio,1
Ensino Superior Socioeconomicos,1
