Classificação,Número de Artigos
nan,6
Neural Network,5
Logistic Regression,4
Support Vector Machine,3
XGBoost,3
Decision Tree,2
KNN,2
Naive Bayes,2
Clustering,1
Gaussian Naive Bayes,1
LightGBM,1
RNN,1
Random Forest,1
