Title,Publication Year,,Técnicas Empregadas,Tipo de Trabalho,Contribuição de Trabalho,Base
Unlocking Student Success: Applying Machine Learning for Predicting Student Dropout in Higher Education,2025,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos","Logistic Regression, Support Vector Machine, Random Forest, XGBoost, Neural Network",Avaliação,Modelo,IEEE
A data-driven approach to predict first-year students’ academic success in higher education institutions,2020,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos",Support Vector Machine,Avaliação,Modelo,SpringerLink
A hybrid approach for early-identification of at-risk dropout students using LSTM-DNN networks,2024,"Performance Ensino Superior, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,SpringerLink
A machine learning based model for student’s dropout prediction in online training,2024,"Performance Ensino Médio, Socioeconômicos",XGBoost,Proposta de Solução,Processo,SpringerLink
A stacking ensemble machine learning method for early identification of students at risk of dropout,2023,"Performance Ensino Médio, Performance Ensino Superior, Socioeconômicos",Logistic Regression,Proposta de Solução,Modelo,SpringerLink
DropWrap: A Neural Network Based Automated Model for Managing Student Dropout,2025,Socioeconômicos,RNN,Proposta de Solução,Sistema,SpringerLink
Effectiveness of data augmentation to predict students at risk using deep learning algorithms,2023,Performance Ensino Superior,Neural Network,Proposta de Solução,Processo,SpringerLink
Framework for automatically suggesting remedial actions to help students at risk based on explainable ML and rule-based models,2022,Performance Ensino Superior,"XGBoost, Support Vector Machine, Random Forest, Naive Bayes",Proposta de Solução,Processo,SpringerLink
Identification of Patterns to Prevent the Failure of Engineering Students,2025,"Performance Ensino Médio, Socioeconômicos",Clustering,Proposta de Solução,Modelo,SpringerLink
Interpretable Dropout Prediction: Towards XAI-Based Personalized Intervention,2023,Performance Ensino Médio,"XGBoost, LightGBM, Logistic Regression",Avaliação,Modelo,SpringerLink
Predicting academic success in higher education: literature review and best practices,2020,,"Decision Tree, Neural Network, Naive Bayes, Logistic Regression, KNN",Avaliação,Processo,SpringerLink
Student Dropout Analysis in Higher Education and Retention by Artificial Intelligence and Machine Learning,2024,Socioeconômicos,"Decision Tree, Support Vector Machine, Neural Network, KNN, Naive Bayes, Logistic Regression",Avaliação,Modelo,SpringerLink
Student grade prediction for effective learning approaches using the optimized ensemble deep neural network,2024,"Performance Ensino Médio, Socioeconômicos",Neural Network,Proposta de Solução,Modelo,SpringerLink
